cv_aucs,test_aucs,model
0.7764974206349207,0.7222222222222223,L2_Logistic_Regression
0.5669333333333333,1,L2_Logistic_Regression
0.829169246031746,0.7777777777777778,L2_Logistic_Regression
0.8727315476190476,0.8333333333333334,L2_Logistic_Regression
0.7419458333333333,0.6944444444444445,L2_Logistic_Regression
0.6765204365079365,0.7777777777777779,L2_Logistic_Regression
0.6755845238095238,0.8888888888888888,L2_Logistic_Regression
0.8432563492063492,0.7777777777777778,L2_Logistic_Regression
0.8406460317460318,0.7777777777777778,L2_Logistic_Regression
0.7957063492063492,0.8888888888888888,L2_Logistic_Regression
0.7485549603174603,0.8611111111111112,L2_Logistic_Regression
0.7570561507936509,0.8888888888888888,L2_Logistic_Regression
0.8111920634920635,0.8333333333333334,L2_Logistic_Regression
0.817727380952381,0.7777777777777778,L2_Logistic_Regression
0.9085632936507937,0.6944444444444445,L2_Logistic_Regression
0.7886986111111112,0.7222222222222223,L2_Logistic_Regression
0.8430664682539682,0.75,L2_Logistic_Regression
0.7765061507936508,0.75,L2_Logistic_Regression
0.8853827380952382,0.888888888888889,L2_Logistic_Regression
0.8357855158730159,0.7777777777777778,L2_Logistic_Regression
0.6464964285714285,1,L2_Logistic_Regression
0.749767261904762,0.8055555555555556,L2_Logistic_Regression
0.8815674603174604,0.6944444444444444,L2_Logistic_Regression
0.826654761904762,0.6944444444444445,L2_Logistic_Regression
0.6119871031746031,0.9722222222222222,L2_Logistic_Regression
0.7487486111111111,0.9166666666666667,L2_Logistic_Regression
0.8704930555555556,0.75,L2_Logistic_Regression
0.6816345238095238,0.8888888888888888,L2_Logistic_Regression
0.8360406746031747,0.8888888888888888,L2_Logistic_Regression
0.706046626984127,0.8055555555555556,L2_Logistic_Regression
0.8300871031746032,0.5833333333333334,L2_Logistic_Regression
0.7330238095238095,0.8055555555555556,L2_Logistic_Regression
0.770752380952381,1,L2_Logistic_Regression
0.7673982142857143,0.9166666666666667,L2_Logistic_Regression
0.8408174603174603,0.75,L2_Logistic_Regression
0.8581184523809524,0.75,L2_Logistic_Regression
0.859484126984127,0.638888888888889,L2_Logistic_Regression
0.8946361111111111,0.75,L2_Logistic_Regression
0.8911748015873016,0.5833333333333333,L2_Logistic_Regression
0.8164123015873016,0.888888888888889,L2_Logistic_Regression
0.8313184523809524,0.6944444444444445,L2_Logistic_Regression
0.7904325396825397,0.75,L2_Logistic_Regression
0.6698670634920635,0.9444444444444444,L2_Logistic_Regression
0.9150490079365079,0.5833333333333334,L2_Logistic_Regression
0.7593871031746032,0.8333333333333334,L2_Logistic_Regression
0.8624746031746032,0.7777777777777778,L2_Logistic_Regression
0.7233462301587301,0.8333333333333334,L2_Logistic_Regression
0.7922371031746032,0.6666666666666666,L2_Logistic_Regression
0.9750525793650794,0.5833333333333334,L2_Logistic_Regression
0.7572652777777777,0.8333333333333334,L2_Logistic_Regression
0.8980420634920635,0.6666666666666666,L2_Logistic_Regression
0.888033134920635,0.7777777777777778,L2_Logistic_Regression
0.8354956349206349,0.75,L2_Logistic_Regression
0.7822335317460317,0.7777777777777778,L2_Logistic_Regression
0.796730753968254,0.75,L2_Logistic_Regression
0.8706968253968254,0.7777777777777778,L2_Logistic_Regression
0.7372331349206349,0.8333333333333334,L2_Logistic_Regression
0.7612299603174604,0.6666666666666666,L2_Logistic_Regression
0.6807549603174603,0.8888888888888888,L2_Logistic_Regression
0.8280992063492063,0.7777777777777779,L2_Logistic_Regression
0.734489880952381,1,L2_Logistic_Regression
0.5497271825396826,0.9444444444444444,L2_Logistic_Regression
0.876005753968254,0.638888888888889,L2_Logistic_Regression
0.9930488095238095,0.5833333333333334,L2_Logistic_Regression
0.7224045634920635,0.7500000000000001,L2_Logistic_Regression
0.8115678571428572,0.8611111111111112,L2_Logistic_Regression
0.7050827380952381,0.8333333333333333,L2_Logistic_Regression
0.8006359126984127,0.8888888888888888,L2_Logistic_Regression
0.804644246031746,0.8333333333333334,L2_Logistic_Regression
0.8597456349206349,0.6944444444444444,L2_Logistic_Regression
0.8285073412698413,0.6944444444444445,L2_Logistic_Regression
0.8780545634920635,0.6666666666666666,L2_Logistic_Regression
0.7729484126984127,0.6944444444444444,L2_Logistic_Regression
0.8939095238095238,0.75,L2_Logistic_Regression
0.8065134920634921,0.7222222222222223,L2_Logistic_Regression
0.7611753968253968,0.8333333333333333,L2_Logistic_Regression
0.7318535714285714,0.7777777777777778,L2_Logistic_Regression
0.7701033730158731,0.75,L2_Logistic_Regression
0.6675825396825397,0.8888888888888888,L2_Logistic_Regression
0.6612742063492063,0.9722222222222222,L2_Logistic_Regression
0.7177285714285714,0.9722222222222222,L2_Logistic_Regression
0.7479537698412698,0.7777777777777778,L2_Logistic_Regression
0.7765962301587301,0.8333333333333333,L2_Logistic_Regression
0.7471214285714286,0.8888888888888888,L2_Logistic_Regression
0.821365873015873,0.6666666666666666,L2_Logistic_Regression
0.6290319444444444,0.8333333333333333,L2_Logistic_Regression
0.7666571428571429,0.8888888888888888,L2_Logistic_Regression
0.8317494047619047,0.8055555555555556,L2_Logistic_Regression
0.8199011904761905,0.7777777777777778,L2_Logistic_Regression
0.7739569444444444,0.8888888888888888,L2_Logistic_Regression
0.8102434523809524,0.8333333333333334,L2_Logistic_Regression
0.7503593253968254,0.7777777777777778,L2_Logistic_Regression
0.6854327380952381,0.8333333333333334,L2_Logistic_Regression
0.7368537698412698,0.8333333333333333,L2_Logistic_Regression
0.7715375,0.7777777777777778,L2_Logistic_Regression
0.8169878968253969,0.8055555555555556,L2_Logistic_Regression
0.8584148809523809,0.6944444444444445,L2_Logistic_Regression
0.7732708333333334,0.7222222222222223,L2_Logistic_Regression
0.8731674603174603,0.7222222222222222,L2_Logistic_Regression
0.8342619047619048,0.8333333333333334,L2_Logistic_Regression
0.7764974206349207,0.7222222222222223,L2_Logistic_Regression
0.5669333333333333,1,L2_Logistic_Regression
0.829169246031746,0.7777777777777778,L2_Logistic_Regression
0.8727315476190476,0.8333333333333334,L2_Logistic_Regression
